<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
EURRUB;D;20210801;000000;86.7480000
EURRUB;D;20210802;000000;86.5815000
EURRUB;D;20210803;000000;86.4950000
EURRUB;D;20210804;000000;86.5822000
EURRUB;D;20210805;000000;86.4846000
EURRUB;D;20210806;000000;86.4520000
EURRUB;D;20210808;000000;86.3035000
EURRUB;D;20210809;000000;86.3775000
EURRUB;D;20210810;000000;86.5200000
EURRUB;D;20210811;000000;86.0957000
EURRUB;D;20210812;000000;86.2248000
EURRUB;D;20210813;000000;86.3210000
EURRUB;D;20210815;000000;86.2696000
EURRUB;D;20210816;000000;86.3230000
EURRUB;D;20210817;000000;86.1084000
EURRUB;D;20210818;000000;86.3612000
EURRUB;D;20210819;000000;86.6609000
EURRUB;D;20210820;000000;86.8960000
EURRUB;D;20210822;000000;86.6995000
EURRUB;D;20210823;000000;86.9435000
EURRUB;D;20210824;000000;86.5651000
EURRUB;D;20210825;000000;86.9270000
EURRUB;D;20210826;000000;87.2113000
EURRUB;D;20210827;000000;86.6160000
EURRUB;D;20210829;000000;86.6300000
EURRUB;D;20210830;000000;86.4893000
EURRUB;D;20210831;000000;86.4555000
