<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20210801;000000;73.0540000
USDRUB;D;20210802;000000;72.9771000
USDRUB;D;20210803;000000;72.8710000
USDRUB;D;20210804;000000;73.1500000
USDRUB;D;20210805;000000;73.1476000
USDRUB;D;20210806;000000;73.4860000
USDRUB;D;20210808;000000;73.5229000
USDRUB;D;20210809;000000;73.6014000
USDRUB;D;20210810;000000;73.9591000
USDRUB;D;20210811;000000;73.4113000
USDRUB;D;20210812;000000;73.5081000
USDRUB;D;20210813;000000;73.3190000
USDRUB;D;20210815;000000;73.1982000
USDRUB;D;20210816;000000;73.1700000
USDRUB;D;20210817;000000;73.5250000
USDRUB;D;20210818;000000;73.8567000
USDRUB;D;20210819;000000;74.2957000
USDRUB;D;20210820;000000;74.2550000
USDRUB;D;20210822;000000;74.2052000
USDRUB;D;20210823;000000;74.0887000
USDRUB;D;20210824;000000;73.7633000
USDRUB;D;20210825;000000;73.8077000
USDRUB;D;20210826;000000;74.2844000
USDRUB;D;20210827;000000;73.4440000
USDRUB;D;20210829;000000;73.2050000
USDRUB;D;20210830;000000;73.3995000
USDRUB;D;20210831;000000;73.3081000
